Soil_Type,pH_Value,pH_Category,Best_Crop_Recommendation,Optional_Crop_Recommendation,Crop_Not_Recommended,Best_Fertilizer,Optional_Fertilizer,Fertilizer_Not_Recommended
Laterite Soil,4.7,Strongly Acidic,"Spices, Barley, Cashew, Coffee, Tea","Coconut, Arecanut","Maize, Wheat","Organic Compost, Liming agents","Ammonium sulfate, Common NPK",Acid-forming fertilizers
Laterite Soil,4.9,Strongly Acidic,"Spices, Barley, Cashew, Coffee, Tea","Coconut, Arecanut","Maize, Wheat","Organic Compost, Liming agents","Ammonium sulfate, Common NPK",Acid-forming fertilizers
Laterite Soil,5.1,Strongly Acidic,"Spices, Barley, Cashew, Coffee, Tea","Coconut, Arecanut","Maize, Wheat","Organic Compost, Liming agents","Ammonium sulfate, Common NPK",Acid-forming fertilizers
Laterite Soil,5.3,Strongly Acidic,"Spices, Cashew, Coffee, Maize, Tea","Coconut, Arecanut","Maize, Wheat","Organic Compost, Liming agents","Common NPK, Urea",Acid-forming fertilizers
Laterite Soil,5.5,Moderately Acidic,"Spices, Cashew, Coffee, Maize, Tea","Coconut, Arecanut","Maize, Wheat","Organic Compost, Liming agents","Common NPK, Urea",Acid-forming fertilizers
Laterite Soil,5.7,Moderately Acidic,"Spices, Cashew, Coffee, Maize, Tea","Coconut, Arecanut","Maize, Wheat","Organic Compost, Liming agents","Common NPK, Urea",Acid-forming fertilizers
Laterite Soil,5.9,Moderately Acidic,"Spices, Cashew, Coffee, Maize, Tea","Coconut, Arecanut","Maize, Wheat","Organic Compost, Liming agents","Common NPK, Urea",Acid-forming fertilizers
Peat Soil,4.0,Strongly Acidic,"Carrot, Potato, Vegetables, Barley","Rice, Barley","Cotton, Sugarcane","P & K rich fertilizers, Liming agents","Small N doses, Ammonium sulfate",Excess Nitrogen
Peat Soil,4.2,Strongly Acidic,"Carrot, Potato, Vegetables, Barley","Rice, Barley","Cotton, Sugarcane","P & K rich fertilizers, Liming agents","Small N doses, Ammonium sulfate",Excess Nitrogen
Peat Soil,4.4,Strongly Acidic,"Carrot, Potato, Vegetables, Barley","Rice, Barley","Cotton, Sugarcane","P & K rich fertilizers, Liming agents","Small N doses, Ammonium sulfate",Excess Nitrogen
Peat Soil,4.6,Strongly Acidic,"Carrot, Potato, Vegetables, Barley","Rice, Barley","Cotton, Sugarcane","P & K rich fertilizers, Liming agents","Small N doses, Ammonium sulfate",Excess Nitrogen
Peat Soil,4.8,Strongly Acidic,"Carrot, Potato, Vegetables, Maize","Rice, Barley","Cotton, Sugarcane","P & K rich fertilizers, Liming agents","Small N doses, Urea",Excess Nitrogen
Peat Soil,5.0,Strongly Acidic,"Carrot, Potato, Vegetables, Maize","Rice, Barley","Cotton, Sugarcane","P & K rich fertilizers, Liming agents","Small N doses, Urea",Excess Nitrogen
Peat Soil,5.2,Strongly Acidic,"Carrot, Potato, Vegetables, Maize","Rice, Barley","Cotton, Sugarcane","P & K rich fertilizers, Liming agents","Small N doses, Urea",Excess Nitrogen
Peat Soil,5.4,Strongly Acidic,"Carrot, Potato, Vegetables, Maize","Rice, Barley","Cotton, Sugarcane","P & K rich fertilizers, Liming agents","Small N doses, Urea",Excess Nitrogen
Yellow Soil,5.0,Strongly Acidic,"Barley, Millets, Groundnut, Pulses","Maize, Sunflower","Sugarcane, Rice","NPK, Organic Matter","Ammonium sulfate, Urea, DAP",Excess Lime
Yellow Soil,5.2,Strongly Acidic,"Barley, Millets, Groundnut, Pulses","Maize, Sunflower","Sugarcane, Rice","NPK, Organic Matter","Ammonium sulfate, Urea, DAP",Excess Lime
Yellow Soil,5.4,Strongly Acidic,"Barley, Millets, Groundnut, Pulses","Maize, Sunflower","Sugarcane, Rice","NPK, Organic Matter","Ammonium sulfate, Urea, DAP",Excess Lime
Yellow Soil,5.6,Moderately Acidic,"Barley, Millets, Groundnut, Pulses","Maize, Sunflower","Sugarcane, Rice","NPK, Organic Matter","Ammonium sulfate, Urea, DAP",Excess Lime
Yellow Soil,5.8,Moderately Acidic,"Millets, Maize, Groundnut, Pulses","Maize, Sunflower","Sugarcane, Rice","NPK, Organic Matter","Urea, DAP",Excess Lime
Yellow Soil,6.0,Moderately Acidic,"Millets, Maize, Groundnut, Pulses","Maize, Sunflower","Sugarcane, Rice","NPK, Organic Matter","Urea, DAP",Excess Lime
Yellow Soil,6.2,Moderately Acidic,"Millets, Maize, Groundnut, Pulses","Maize, Sunflower","Sugarcane, Rice","NPK, Organic Matter","Urea, DAP",Excess Lime
Yellow Soil,6.4,Moderately Acidic,"Millets, Maize, Groundnut, Pulses","Maize, Sunflower","Sugarcane, Rice","NPK, Organic Matter","Urea, DAP",Excess Lime
Cinder Soil,5.2,Strongly Acidic,"Pineapple, Maize, Banana, Barley","Potato, Sweet Potato","Cotton, Wheat","Organic Compost, Minimal NPK","Ammonium sulfate, Micronutrients",Excess Fertilizers
Cinder Soil,5.4,Strongly Acidic,"Pineapple, Maize, Banana, Barley","Potato, Sweet Potato","Cotton, Wheat","Organic Compost, Minimal NPK","Ammonium sulfate, Micronutrients",Excess Fertilizers
Cinder Soil,5.6,Moderately Acidic,"Pineapple, Maize, Banana, Barley","Potato, Sweet Potato","Cotton, Wheat","Organic Compost, Minimal NPK","Ammonium sulfate, Micronutrients",Excess Fertilizers
Cinder Soil,5.8,Moderately Acidic,"Pineapple, Maize, Banana, Barley","Potato, Sweet Potato","Cotton, Wheat","Organic Compost, Minimal NPK","Ammonium sulfate, Micronutrients",Excess Fertilizers
Cinder Soil,6.0,Moderately Acidic,"Pineapple, Maize, Banana","Potato, Sweet Potato","Cotton, Wheat","Organic Compost, Minimal NPK","Micronutrients, Urea",Excess Fertilizers
Cinder Soil,6.2,Moderately Acidic,"Pineapple, Maize, Banana","Potato, Sweet Potato","Cotton, Wheat","Organic Compost, Minimal NPK","Micronutrients, Urea",Excess Fertilizers
Cinder Soil,6.4,Moderately Acidic,"Pineapple, Maize, Banana","Potato, Sweet Potato","Cotton, Wheat","Organic Compost, Minimal NPK","Micronutrients, Urea",Excess Fertilizers
Cinder Soil,6.6,Neutral,"Pineapple, Maize, Banana","Potato, Sweet Potato","Cotton, Wheat","Organic Compost, Minimal NPK","Micronutrients, Urea",Excess Fertilizers
Cinder Soil,6.8,Neutral,"Pineapple, Maize, Banana","Potato, Sweet Potato","Cotton, Wheat","Organic Compost, Minimal NPK","Micronutrients, Urea",Excess Fertilizers
